onset	trial_type	duration
8.05	RightHandCuePROC	2.959
11.009	RightHand	12.155
23.164	LeftFootCuePROC	2.972
26.136	LeftFoot	12.155
38.291	TongueCuePROC	2.97300000000001
41.264	Tongue	12.155
53.419	RightFoottCuePROC	2.972
56.391	RightFoot	12.155
68.546	LeftHandCueProcedure	2.97199999999999
71.518	LeftHand	12.155
83.673	FixPROC	14.994
98.667	TongueCuePROC	2.97199999999999
101.639	Tongue	12.155
113.794	LeftFootCuePROC	2.97200000000001
116.766	LeftFoot	12.155
128.921	RightHandCuePROC	2.97300000000001
131.894	RightHand	12.155
144.049	FixPROC	14.994
159.043	LeftHandCueProcedure	2.97199999999998
162.015	LeftHand	12.155
174.17	RightFoottCuePROC	2.97200000000001
177.142	RightFoot	12.155
189.297	FixPROC	0
